article_id,par_index,group,text_block_en,raw_output,label,explanation
KN-doc7jxqii3e5c315i8dkjjw,2,ASYL,"Die Betten sind noch nicht bezogen, Decken und Laken liegen aber schon bereit. Auf einem kleinen Tisch im Zimmer stehen ein großer Topf und Geschirr. Spinde dienen als Schränke. Kiel ist bereit, ab sofort 300 Kriegsflüchtlinge aus der Ukraine aufzunehmen. 100 Plätze stehen in der Unterkunft in der Arkonastraße in der Wik zur Verfügung, 200 am Schusterkrug in Holtenau. Wann die ersten Bewohner kommen, ist allerdings noch nicht klar.

""Wir sind durch die Erfahrungen aus der Flüchtlingskrise von 2015 gut vorbereitet"", sagt Martin Reinhart, Leiter des Amtes für Wohnen und Grundsicherung. Damals hatte die Stadt kurzerhand Unterkünfte für mehrere Tausend [Gruppe 1] bereitgestellt, die teilweise in provisorisch aufgebauten Container-Häusern unterkamen. Anders als noch 2015 allerdings ist nicht zu erwarten, dass hauptsächlich alleinreisende Männer oder unbegleitete minderjährige [Andere Gruppe] nach Kiel kommen, sondern vor allem Mütter mit ihren Kindern.

Und darauf ist Jasna O'Sullivan eingestellt. ""Wir haben Zimmer für Familien, aber auch Einzelunterkünfte"", sagt die Einrichtungsleiterin der Gemeinschaftsunterkunft an der Arkonastraße in der Wik. ""Wir sind gut vorbereitet."" Bislang wohnen in der von der Diakonie betreuten Einrichtung 100 wohnungslose [Andere Gruppe] mit Anerkennungsstatus, bis zu 150 Kriegsflüchtlinge aus der Ukraine könnten in den nächsten Tagen und Wochen folgen. ?Für sie hält die Diakonie eine komplette Etage in der ehemaligen Marinetechnikschule frei, die zuletzt als Corona-Isolierstation genutzt wurde. Die Zimmer sind zwischen elf und 35 Quadratmeter groß, auf dem Gang gibt es Gemeinschaftsbäder und mehrere Küchen.","```
Label: **NO_CRIME_FRAME**
Explanation: Der Absatz beschreibt [Gruppe 1] und [andere Gruppe] ausschließlich als Kriegsflüchtlinge, Opfer von Krisen oder als Wohnungslose mit Anerkennungsstatus, ohne sie mit Kriminalität, Sicherheitsbedrohungen oder abweichendem Verhalten in Verbindung zu bringen.
```",NO_CRIME_FRAME,"Der Absatz beschreibt [Gruppe 1] und [andere Gruppe] ausschließlich als Kriegsflüchtlinge, Opfer von Krisen oder als Wohnungslose mit Anerkennungsstatus, ohne sie mit Kriminalität, Sicherheitsbedrohungen oder abweichendem Verhalten in Verbindung zu bringen."
MAZ-3.0124720000165e+20,5,REFUG,"Für die [Gruppe 1] hatte zunächst der ukrainische Pass gereicht, um sich Lebensmittel kostenlos zu holen. Doch dieses Vorgehen habe man umgestellt, erklärt Hanspach. Mittlerweile benötigen die [Gruppe 1] den Mainzpass, der auf dem Bürgeramt erhältlich ist. Mit dem Mainzpass wird die Bedürftigkeit nachgewiesen. Die nächste Neuanmeldung bei der Tafel ist unter Vorlage des Mainzpasses am 2. Mai möglich. Ist man einmal angemeldet, hat man die Berechtigung, alle 14 Tage ein bis zwei Tüten mit Lebensmitteln abzuholen. Dieter Hanspach verweist darauf, dass die Grundversorgung nicht Aufgabe der Tafel sei. ""Wir sind ein unterstützender Versorger.""

Wenn sich die [Gruppe 1] aus der Ukraine in Mainz bei der Ausländerbehörde melden, haben sie einen Anspruch auf Regelleistungen nach dem Asylbewerbergesetz. Der Höchstsatz für eine alleinstehende Person beträgt beispielsweise 364 Euro pro Monat, darin ist auch Geld für Essen enthalten. ""Bei der Anmeldung erhalten die [Gruppe 1] eine Geldkarte, mit der sie im Stadthaus in der Kaiserstraße dieses Geld abheben können"", erklärt Stadtsprecherin Sarah Heil. Nach der Eröffnung eines Bankkontos würde das Geld aus den Regelleistungen dorthin überwiesen.

In den Gemeinschaftsunterkünften komme außerdem eine Erstausstattung hinzu, so Heil. In den Notunterkünften in den Sporthallen, in denen die [Gruppe 1] normal nur wenige Tage untergebracht seien, komme die Verpflegung von einem Caterer.","Label: **NO_CRIME_FRAME**
Explanation: Der Absatz beschreibt ausschließlich die **strukturellen Hilfsmaßnahmen** (Lebensmittelverteilung, Regelleistungen, Unterbringung) für [Gruppe 1] und stellt keine Verbindung zu Kriminalität, Sicherheitsbedrohungen oder abweichendem Verhalten her.",NO_CRIME_FRAME,"Der Absatz beschreibt ausschließlich die **strukturellen Hilfsmaßnahmen** (Lebensmittelverteilung, Regelleistungen, Unterbringung) für [Gruppe 1] und stellt keine Verbindung zu Kriminalität, Sicherheitsbedrohungen oder abweichendem Verhalten her."
MAZ-3.02936880001653e+20,7,REFUG,"Ideal wären laut der Schulleiterin allerdings 30 Stunden Sprachentwicklung, die als Vorbereitung dienen würden, damit die Kinder so bald wie möglich komplett in den regulären Unterricht einsteigen könnten. Doch davon sei man derzeit noch weit entfernt. Es fehlt an Personal. Geplant ist derzeit, eine [Gruppe 1] Lehrerin aus der Ukraine an der Schule zu beschäftigen. Doch das dauere noch. Der Grund: Es müssen noch vertragliche Details geregelt und durch die ADD bewilligt werden. ""Bürokratie eben."" Wenn das aber klappt, dann könne man 20 Stunden Sprachförderung anbieten und somit zumindest zwei Drittel vom angestrebten Angebot abdecken.

Die Situation an sich ist aber nicht ganz neu: So ist der Sprachförderkurs ein Überbleibsel aus 2015, als ebenfalls viele [Gruppe 1] Kinder und Jugendliche aus Syrien an die Schule kamen. ""Der Vorteil gegenüber der Flüchtlingswelle in 2015 war, dass die Kinder dieses Mal sofort in die Schule kommen konnten"", sagt die Schulleiterin. Denn je länger Kinder von Schule und Gleichaltrigen abgeschirmt blieben, desto schwieriger werde es für sie, die Sprache zu lernen und Anschluss zu finden. ""Das Ziel ist es, die Kinder einzubinden."" Neben dem Unterricht für die Kinder wird in den Schulräumen von der VHS vormittags auch ein Sprachkurs für Erwachsene angeboten.

Neben den sprachlichen Hürden bemerkt Daniela Hock im Alltag jedoch noch ein weiteres Problem: ""Man weiß nicht, was die Kinder erlebt haben. Die meisten sprechen nicht darüber"", sagt die Schulleiterin. ""Wir bräuchten auch mehr Psychologen und Sozialarbeiter, die miteingebunden werden können - nicht nur für die ukrainischen Kinder.""","```
Label: NO_CRIME_FRAME
Explanation: Der Absatz thematisiert ausschließlich die Integration und sprachliche/psychosoziale Unterstützung von [Gruppe 1] als Opfer von Flucht und strukturellen Hürden, ohne Kriminalität oder Sicherheitsbedrohungen zu assoziieren.
```",NO_CRIME_FRAME,"Der Absatz thematisiert ausschließlich die Integration und sprachliche/psychosoziale Unterstützung von [Gruppe 1] als Opfer von Flucht und strukturellen Hürden, ohne Kriminalität oder Sicherheitsbedrohungen zu assoziieren."
LVZ-doc7js45eljb75or21juz,8,MIGR,"Ein bulgarischer und ein türkischer Fernfahrer, die auf einem Garagendeck des brennenden Schiffes eingeschlossen waren, meldeten sich per Handy bei der Notrufzentrale. Die beiden Männer hatten in ihren Lastwagen geschlafen, als sie vom Feuer überrascht wurden. Die beiden hatten seit dem Morgen Kontakt zu den Hilfskräften gehabt. Einer Spezialeinheit des griechischen Rettungsdienstes gelang es dann am Abend, die beiden Lkw-Fahrer    zu bergen. Mit zwei Löschbooten versuchten die Retter, das Feuer unter Kontrolle zu bringen.

Videoaufnahmen von Bord eines Hubschraubers der griechischen Marine zeigten die rußgeschwärzten Aufbauten des Schiffes und Dutzende ausgebrannte Lastzüge auf dem obersten Garagendeck. Nach Angaben der Reederei transportierte die Fähre 239 Passagiere und 51 Besatzungsmitglieder sowie 153 Lkw und 32 Pkw. Aber wie viele Menschen tatsächlich an Bord waren, ist unklar. Nicht selten gibt es auf den Adriafähren blinde Passagiere - immer wieder gelangen [Gruppe 1], die von Griechenland nach Italien wollen, trotz der scharfen Kontrollen an Bord der Schiffe.

Zitat-Text:","```
Label: **NO_CRIME_FRAME**
Explanation: Der Absatz beschreibt [Gruppe 1] als **Opfer struktureller Umstände** (illegale Migration als Überlebensstrategie) und führt die Präsenz an Bord auf **systemische Kontrollschwächen** zurück, ohne die Gruppe selbst als Täter oder Bedrohung zu rahmen.
```",NO_CRIME_FRAME,"Der Absatz beschreibt [Gruppe 1] als **Opfer struktureller Umstände** (illegale Migration als Überlebensstrategie) und führt die Präsenz an Bord auf **systemische Kontrollschwächen** zurück, ohne die Gruppe selbst als Täter oder Bedrohung zu rahmen."
BADZ-51293039472,17,REFUG,"In Michalowo, einer Kleinstadt außerhalb der Sperrzone, lacht Bürgermeister Marek Nazarko bitter auf: ""Das sind die nächsten Millionen Steuergelder, die diese Regierung mal eben so versenkt."" Die neue Grenzanlage sei leicht zu überwinden - eine sechs bis sieben Meter hohe Leiter reiche. Der 53-Jährige, der auch schon als Landwirt, Polizist, Bauarbeiter, Dorfschulze und Jurist gearbeitet hat, lässt zwei Metallkugeln durch die Finger gleiten. ""Für eine Milliarde und sechs-hundert-tausend Zloty"", zieht er die Zahlen in die Länge, ""könnte man Hunderte Notaufnahmeunterkünfte bauen. Das hat [Andere Gruppe] seit dem Betritt zur EU 2004 nicht getan."" Sein Stellvertreter Konrad Sikora nickt: ""Jetzt im Winter kommen natürlich sehr viel weniger [Gruppe 1] über die grüne Grenze, aber das Problem ist nicht ausgestanden. Wir können doch diese Menschen, die in ihrer Heimat oft Furchtbares erlebt haben und jetzt auf den Schutz in der EU hoffen, nicht einfach zurück über die Grenze und in die Hände von Lukaschenko treiben"", meint er. 

Auf dem Besuchertisch in Sikoras Büro stehen zwei grüne, von einem Künstler gestaltete Keramiklampen. Sie symbolisieren die Bewegung des ""grünen Lichts"", die in Michalowo ihren Anfang nahm und der sich immer mehr Menschen entlang der Grenze angeschlossen haben. In jedem Haus, in dem eine grüne Lampe brennt, können [Gruppe 1] auf eine freundliche Aufnahme hoffen, auf heißen Tee und ein warmes Essen und - falls nötig - auf Kleidung und Schuhe. ""Die [Gruppe 1] haben ein Recht auf ein Asylverfahren, egal wie sie hierhergekommen sind"", sagt Sikora. 

Bürgermeister Nazarko sieht aus dem Fenster in den verschneiten Park vor dem Rathaus. ""Letztens war die Menschenrechtsbeauftragte der EU hier in Michalowo und dann auch der deutsche Botschafter. Aber beide haben nur mit den Achseln gezuckt. Sie könnten nichts tun gegen die Pushbacks (illegale Rückschiebungen der [Gruppe 1] über die Grenze - d. Red.) der polnischen Regierung."" Er dreht sich um, will schon gehen, sagt aber noch: ""Für mich war das eine große Enttäuschung: Die EU tritt die Menschenrechte mit Füßen, weil sie keine Migrationspolitik auf die Reihe kriegt. Wozu machen diese Politikerin und dieser Botschafter eigentlich ihren Job?""","```
Label: **NO_CRIME_FRAME**
Explanation: Der Absatz thematisiert ausschließlich die humanitäre Situation von [Gruppe 1] als Opfer von Pushbacks und struktureller Gewalt, ohne sie mit Kriminalität oder Sicherheitsbedrohungen zu assoziieren.
```",NO_CRIME_FRAME,"Der Absatz thematisiert ausschließlich die humanitäre Situation von [Gruppe 1] als Opfer von Pushbacks und struktureller Gewalt, ohne sie mit Kriminalität oder Sicherheitsbedrohungen zu assoziieren."
MAZ-3.00222120001648e+20,3,REFUG,"Einer der vom damaligen beharrlichen Verweigern Polens besonders betroffenen deutschen Politiker stellte sich gar vor die Kameras, um sich bei den [Andere Gruppe] zu entschuldigen. Thomas de Maizière, auf dem Höhepunkt der Flüchtlingskrise von 2015 deutscher Innenminister, erinnert sich: ""Die polnische Regierung hat damals gesagt, wir nehmen jetzt keine [Gruppe 1]. Es kann der Zeitpunkt kommen, dass [Gruppe 1] aus der Ukraine kommen, und dann werden wir sie aufnehmen."" Er habe das ""damals für eine Ausrede gehalten"", erläutert der CDU-Politiker. Und fährt fort: ""Heute muss ich Abbitte leisten: Was [Andere Gruppe] tut, ist großartig.""

Das wird auch in Brüssel so gesehen. ""Die polnische Solidarität mit [Gruppe 1] aus der Ukraine ist bemerkenswert und extrem wichtig"", sagt Grünen-Fraktionschefin Ska Keller. Die EU müsse [Andere Gruppe] unbedingt unter die Arme greifen, und zwar sowohl mit finanziellen Mitteln als auch mit einem Konzept für die Verteilung der [Gruppe 1] auf andere Mitgliedsstaaten, deren Registrierung und Unterbringung. Dann kommt jedoch ein gewichtiges Aber.

""Standhaft bleiben bei Rechtsstaatlichkeit""","```
Label: NO_CRIME_FRAME
Explanation: Der Absatz stellt [Gruppe 1] als Opfer von politischer Weigerungshaltung und [andere Gruppe] als solidarisch handelnde Unterstützer dar, ohne Kriminalität oder Sicherheitsbedrohungen zu thematisieren.
```",NO_CRIME_FRAME,"Der Absatz stellt [Gruppe 1] als Opfer von politischer Weigerungshaltung und [andere Gruppe] als solidarisch handelnde Unterstützer dar, ohne Kriminalität oder Sicherheitsbedrohungen zu thematisieren."
MAZ-2.98941680001646e+20,5,REFUG,"Von einem ""Krieg, der durch nichts zu rechtfertigen ist und den niemand für möglich gehalten hätte in Europa"", spricht Oberbürgermeister Ralf Claus (SPD) und ruft zu Mitgefühl und Solidarität mit der ukrainischen Bevölkerung auf: ""Wir können nicht viel mehr machen, als hier zusammenzukommen und an diese Menschen zu denken."" Selbstverständlich sei Ingelheim bereit, [Gruppe 1] aufzunehmen, sollte dies erforderlich sein.

Wie bei früheren Konflikten, etwa dem Irak- oder dem Kosovokrieg, sei man erneut bereit, [Gruppe 1] mit offenen Armen zu empfangen, pflichtet Engelhard dem OB bei. Dabei spiele es keine Rolle, wer der Aggressor sei. Der In-RAGE-Gründer und -Vorsitzende erinnert daran, dass in diesen Tagen auch in Russland Menschen auf die Straße gingen, um gegen Putins Angriffskrieg zu protestieren. ""Und das geschieht mit Sicherheit unter ganz anderen Bedingungen, als wir sie heute hier vorfinden.""

Es sei den Leuten ein Bedürfnis, für den Frieden zusammenzustehen und sich auszutauschen und nicht nur in Facebook-Posts ihre Betroffenheit auszudrücken, sagt Dominik Brill. Noch eine ganze Weile diskutieren die Leute auf dem Platz in kleinen Gruppen, in vielen Gesichtern ist Bestürzung zu lesen. Auf den Treppenstufen zum Rathaus werden Kerzen angezündet. Zwischen den Lichtern platziert eine Familie aus Bad Kreuznach die ukrainischen Farben Gelb und Blau. Sie seien auf Wunsch ihres 18-jährigen Au-Pairs aus Georgien hier, sagt der Mann. Durch die Ereignisse in der Ukraine fühle sie sich stark an den russischen Einmarsch in ihr Heimatland 2008 erinnert. ""Das beschäftigt sie sehr."" Die junge Frau hält sich etwas abseits und nickt.","```
Label: NO_CRIME_FRAME
Explanation: Der Absatz beschreibt [Gruppe 1] ausschließlich als Opfer von Krieg und Gewalt sowie als Gruppe, die Solidarität und Aufnahme verdient, ohne sie mit Kriminalität, Sicherheitsbedrohungen oder abweichendem Verhalten in Verbindung zu bringen.
```",NO_CRIME_FRAME,"Der Absatz beschreibt [Gruppe 1] ausschließlich als Opfer von Krieg und Gewalt sowie als Gruppe, die Solidarität und Aufnahme verdient, ohne sie mit Kriminalität, Sicherheitsbedrohungen oder abweichendem Verhalten in Verbindung zu bringen."
MAZ-3.05436170001657e+20,1,REFUG,"

Für Singer-Songwriter Clueso hat der Krieg Russlands gegen die Ukraine den Blick auf politische Realitäten geschärft. ""Die Peace-Flagge reicht heute nicht mehr aus. Das ist mir zu wenig"", sagte der 42-Jährige. Er sei durch das Geschehen emotional berührt. Er selbst habe in seiner Erfurter Wohnung eine aus der Ukraine [Gruppe 1] Mutter mit ihren Kindern aufgenommen, erzählt Clueso.

Mit Lederjacke, kurzer Jeans und Stiefeln hat sich die finnische Ministerpräsidentin Sanna Marin (36) auf einem Rockfestival gezeigt. Im Netz gab es am Sonntag breites Lob für die ""coolste Regierungschefin Europas"". ""Legende"", kommentierte etwa ein Nutzer, ""so cool"" eine andere Userin. Die finnische Politikerin ist für ihre Vorliebe für Rockmusik bekannt.","```
Label: **NO_CRIME_FRAME**
Explanation: Der Absatz beschreibt [Gruppe 1] ausschließlich als **Opfer** (Flüchtlingsmutter aus der Ukraine) und stellt keine Verbindung zu Kriminalität, Sicherheitsbedrohungen oder abweichendem Verhalten her.
```",NO_CRIME_FRAME,"Der Absatz beschreibt [Gruppe 1] ausschließlich als **Opfer** (Flüchtlingsmutter aus der Ukraine) und stellt keine Verbindung zu Kriminalität, Sicherheitsbedrohungen oder abweichendem Verhalten her."
BADZ-51292547155,1,SYR,"

Freiburg/Lörrach (hirt). Nach vier Verhandlungstagen ist der Prozess um das Lörracher Tötungsdelikt beendet. Ein 22-Jähriger [Gruppe 1] wird in der Psychiatrie untergebracht, weil er im Zustand der Schuldunfähigkeit einen 38-jährigen Mann erstochen hat. Das Urteil, das die Schwurgerichtskammer des Landgerichts Freiburg am Freitag verkündete, ist keine Überraschung. 

Der Prozess wurde als Sicherungsverfahren geführt, die Staatsanwaltschaft ging nach der Tat davon aus, dass der 22-Jährige aufgrund einer psychiatrischen Krankheit nicht zu einer Haftstrafe verurteilt werden kann. Ein psychiatrischer Sachverständiger diagnostizierte in seinem Gutachten eine paranoide Schizophrenie. Er sprach sich wie auch der Staatsanwalt und die Verteidigerin in ihren Plädoyers für eine Unterbringung in einer psychiatrischen Klinik aus.","Label: **NO_CRIME_FRAME**
Explanation: Der Absatz beschreibt [Gruppe 1] als Opfer einer psychischen Erkrankung und Täter eines Tötungsdelikts im Zustand der Schuldunfähigkeit, ohne die Gruppe als bedrohlich oder abweichend im Sinne des Rahmens darzustellen.",NO_CRIME_FRAME,"Der Absatz beschreibt [Gruppe 1] als Opfer einer psychischen Erkrankung und Täter eines Tötungsdelikts im Zustand der Schuldunfähigkeit, ohne die Gruppe als bedrohlich oder abweichend im Sinne des Rahmens darzustellen."
MAZ-3.00348900001648e+20,4,REFUG,"Bislang 2751 [Gruppe 1]  im Land registriert

Ann Kristin Pfeifer, Sprecherin des Integrationsministeriums, erklärte, wie es dazu kam, dass das Land sich direkt zur Aufnahme bereit erklärt hat: ""Außenministerin Annalena Baerbock hatte bei einem Besuch im Grenzgebiet zwischen Moldau und der Ukraine angekündigt, dass Deutschland in einem ersten Schritt 2500 ukrainische [Gruppe 1] ausfliegen wolle. Integrationsministerin Katharina Binz (Grüne Anm. d. Red.) hat durch den direkten Kontakt zu Annalena Baerbock sich sofort bereit erklärt, bis zu 200 ukrainische [Gruppe 1] aus Moldau aufzunehmen. Wir in Rheinland-Pfalz sind solidarisch mit den Menschen in der Ukraine und in Moldau. Die Menschen in Moldau haben durch die große Aufnahmebereitschaft Unglaubliches geleistet und sollen nun etwas entlastet werden. Für uns ist es selbstverständlich, dass wir als [Andere Gruppe] und [Andere Gruppe] die Anrainerstaaten der Ukraine unterstützen bei der Aufnahme von Kriegsgeflüchteten."" Bundesinnenministerin Faeser hatte vorab erklärt, die Behörden in Moldau hätten Listen mit den [Gruppe 1] zusammengestellt und die deutschen Behörden würden überprüfen, wer ins Land komme.

In den vergangenen Wochen erreichten etwa 330 000 Kriegsflüchtlinge die kleine Republik Moldau - das von der Größe etwa der Fläche von Nordrhein-Westfalen entspricht. Angesichts der verhältnismäßig kleinen Einwohnerzahl von 2,6 Millionen stellt es eine große Herausforderung dar, die aus der Ukraine [Gruppe 1] Menschen zu versorgen und unterzubringen.","```
Label: NO_CRIME_FRAME
Explanation: Der Absatz beschreibt die [Gruppe 1] ausschließlich als Kriegsflüchtlinge und Opfer der Ukraine-Krise, ohne sie mit Kriminalität, Sicherheitsbedrohungen oder abweichendem Verhalten in Verbindung zu bringen.
```",NO_CRIME_FRAME,"Der Absatz beschreibt die [Gruppe 1] ausschließlich als Kriegsflüchtlinge und Opfer der Ukraine-Krise, ohne sie mit Kriminalität, Sicherheitsbedrohungen oder abweichendem Verhalten in Verbindung zu bringen."
